baserent,balcony,noparkspaces,haskitchen,cellar,livingspace,petsallowed,geo_krs,lift,norooms,floor,garden,energyefficiencyclass
1480.0,True,1.0,True,True,88.8,no,M?nchen,True,3.0,1.0,False,B
2030.0,True,1.0,False,True,131.0,no,Wiesbaden,True,4.0,3.0,False,B
615.0,True,1.0,False,True,77.0,negotiable,Rhein_Sieg_Kreis,False,3.0,1.0,False,A
720.0,True,1.0,False,True,89.0,no,Wetteraukreis,True,3.0,1.0,False,B
1439.0,True,1.0,True,False,106.3,negotiable,Stormarn_Kreis,True,3.0,2.0,False,A
594.81,True,1.0,False,True,66.09,no,Leipzig,True,2.0,0.0,False,B
976.99,True,1.0,True,True,82.1,yes,Leipzig,True,3.0,2.0,True,B
1220.0,True,1.0,False,True,88.5,no,Offenbach_am_Main,True,3.0,2.0,False,B
1640.0,True,1.0,False,True,117.25,yes,Ebersberg_Kreis,True,4.0,1.0,False,A
1465.0,True,1.0,False,True,121.7,negotiable,Krefeld,True,3.0,2.0,False,C
975.0,True,1.0,True,False,71.08,negotiable,Frankfurt_am_Main,True,2.0,3.0,False,B
1378.89,True,1.0,True,False,122.73,negotiable,Stade_Kreis,True,5.0,2.0,False,A_PLUS
1099.0,True,1.0,True,True,95.69,negotiable,Magdeburg,True,3.0,1.0,True,A
810.0,False,1.0,True,False,16.18,no,M?nchen_Kreis,False,1.0,2.0,True,A_PLUS
1150.0,True,2.0,False,True,94.0,no,Gro?_Gerau_Kreis,False,3.0,0.0,True,A
1150.0,True,1.0,False,True,100.0,negotiable,Potsdam_Mittelmark_Kreis,True,3.0,0.0,True,A
1415.0,True,1.0,False,True,105.0,negotiable,Magdeburg,True,3.0,2.0,False,B
1400.0,True,1.0,False,True,80.98,no,Berlin,True,3.0,6.0,False,A
1974.0,True,1.0,True,True,141.0,no,Unterallg?u_Kreis,True,3.0,1.0,False,C
604.9,True,1.0,False,False,60.49,negotiable,Cottbus,True,2.0,1.0,False,A
990.0,True,1.0,False,True,99.0,no,Bad_Kreuznach_Kreis,True,3.0,2.0,False,A
655.0,True,1.0,False,True,44.82,negotiable,D?sseldorf,True,2.0,2.0,False,B
1444.0,False,1.0,False,False,76.0,negotiable,F?rstenfeldbruck_Kreis,True,3.0,3.0,False,A
731.0,True,1.0,True,False,58.0,negotiable,Dresden,True,1.0,1.0,False,A_PLUS
1095.0,True,1.0,True,True,98.85,negotiable,Mannheim,True,4.0,3.0,False,B
1278.27,True,1.0,True,False,101.45,yes,Dresden,True,4.0,2.0,False,C
393.13,False,1.0,True,True,31.45,yes,Dresden,True,1.5,0.0,False,B
1175.0,True,1.0,False,True,104.0,no,B?blingen_Kreis,True,2.0,2.0,False,A
1150.0,True,2.0,False,True,100.0,negotiable,Rosenheim_Kreis,False,2.0,1.0,False,B
1125.0,True,1.0,True,False,107.33,negotiable,Hannover_Kreis,False,2.5,0.0,False,B
929.0,True,1.0,True,True,79.69,negotiable,Braunschweig,True,3.0,1.0,False,A
599.0,True,38.0,True,False,20.0,no,M?nchen,True,1.0,3.0,False,A_PLUS
1250.0,True,1.0,True,True,80.2,negotiable,Hamburg,False,3.0,4.0,False,B
1200.0,True,1.0,True,True,85.11,negotiable,Bremen,True,2.0,0.0,True,A
1095.0,True,2.0,False,True,95.0,negotiable,Rosenheim_Kreis,False,2.0,1.0,False,B
1201.31,True,1.0,True,True,84.48,yes,Leipzig,True,3.0,5.0,False,B
690.0,True,1.0,False,True,77.71,negotiable,Kleve_Kreis,True,3.0,1.0,False,A_PLUS
1170.0,True,1.0,True,True,104.16,negotiable,Harburg_Kreis,True,3.5,1.0,True,A
1190.0,True,1.0,False,True,102.0,negotiable,Rhein_Neckar_Kreis,True,3.0,3.0,False,B
990.0,True,1.0,True,True,87.96,no,Bremen,True,3.0,0.0,False,A
670.0,True,1.0,True,False,44.1,negotiable,Frankfurt_am_Main,True,1.5,0.0,True,B
900.0,True,1.0,False,True,62.1,no,Main_Taunus_Kreis,True,2.0,2.0,False,A
899.0,True,1.0,False,True,72.0,negotiable,Potsdam_Mittelmark_Kreis,True,2.0,1.0,True,A
